קטגוריה	שאלה	התשובה של פריידי
מיניות	אני היחידה שמעדיפה לישון במקום לעשות סקס?	לא כפרה. גם אני 🤪 כשסוללת החיים על 3%, גם החיה הכי טורפת רוצה ללכת לישון
מיניות	איך מפסיקים להרגיש דחוי כשבת הזוג אומרת "לא היום"?	מתחילים לבדוק איפה אתה מסרב ודוחה את עצמך. השיקופים תמיד עובדים שעות נוספות...
מיניות	האם מתח כלכלי באמת משפיע על תשוקה?	ברור. קשה לחיה לצאת לרקוד כשהמוח עסוק בלשרוד... הישרדות לא משאירה לנו פנאי לתענוגות
מיניות	אם אני לא אוהבת את הגוף שלי, איך אני אמורה ליהנות ממיניות?	קשה להתענג כשאת כל היום מעבירה על עצמך ביקורת.... אני חייבת להודות, שאחד הדברים שעזרו לי לאהוב את הגוף שלי יותר, היה דווקא כמויות האהבה שאשתי הרעיפה עליו. בהתחלה לא האמנתי לכל המילים הטובות שלה, אבל לאט לאט הגוף שלי האמין לה. קחי את המיניות כמגרש משחקים שעשוי לרפא ולשדרג לך גם את הקשר עם הגוף שלך!
מיניות	יכול להיות שהבעיה היא בכלל לא במיניות אלא בעומס החיים?	לגמרי!! אם תאזיני השבוע לתוכנית החדשה שתעלה, את תשמעי שם מישהי שמתקשרת לקטר על המיניות שלה, ואני בכלל שולחת אותה לעבוד על הרווחה שלה. לא פעם, זו לא תשוקה שחסרה לנו, אלא פשוט אויר לנשימה
מיניות	מה לא בסדר בי אם הדבר שהכי מדליק אותי זה להיות לבד בבית?	נשמע לי שהכל בסדר! והנשמה שלך פשוט מבקשת דייט שקט עם עצמך....
מיניות / ערך עצמי	בעלי מחמיא לי כל הזמן ואני פשוט לא מאמינה לו. למה?	כי את עוד לא למדת לקבל.... אני זוכרת שבתחילת הקשר שלנו, גם אשתי היתה מחמיאה לי ולא הצלחתי להאמין לה. רק עבודה על קבלה וערך עצמי, שידרגה לי את המיומנות להאמין למחמאות ולטוב באופן כללי!
מיניות / זוגיות	אני אוהבת את בעלי… אז למה אני מתרגשת כשמישהו אחר מחמיא לי?	מחמאה מבחוץ לא תמיד מעידה על תשוקה לאדם שמולך, בד"כ היא פשוט מעירה חלק בתוכך שנרדם מזמן... ולכן השאלה המטאיסטית היא לא "למה הוא מרגש אותי?" אלא "איזה חלק בי התרגש להתעורר?"
מיניות / קבלה	למה אני מרגישה אשמה כשאני נהנית?	כי גדלנו על הרעיון שלהתאמץ זה טוב, לסבול זה אצילי, ולהתענג זה קצת חשוד... אשמה משקפת לנו שעוד לא מספיק התרגלנו לטוב... אבל במטאיזם אנחנו מבינים שככל שאנחנו מסכימים להתענג על החיים (על אהבה, שפע, מיניות וכו') אנחנו מסכימים לקבל את המתנות שהרוח שולחת לנו.
מיניות / זוגיות	אשתי אומרת שהיא אוהבת אותי. אז למה היא אף פעם לא יוזמת?	א. אהבה היא לא תמיד השפה שבה תשוקה מדברת... ב. יתכן שהיא יוזמת דברים אחרים? כמו חופשות משפחתיות, מעבר דירה, חוגים לילדים, דברים שאתה אולי לא יוזם, ולכן איזור זה של מגרש המשחקים, נשאר ליוזמתך וניהולך?
